MSA_word,count_MSA
أن,1988
إلى,1008
حسنا,718
أو,473
أريد,333
أنه,329
أنت,301
ليس,301
أخي,297
إنه,278
ذلك,271
أنني,265
أقسم,256
إن,246
هكذا,212
أيضا,212
لماذا,196
شيئا,189
أم,189
يجب,185
انظروا,173
أين,172
لكي,171
أقول,156
انظر,156
لن,155
أستطيع,145
أحد,142
دعني,142
عندما,139
وأنا,139
أول,138
أنك,137
ربما,137
أعرف,127
أعني,126
آخر,126
الأمر,120
يريد,116
دعنا,116
بالطبع,113
أدري,111
ريالات,106
إنها,104
الذين,101
أشعر,101
بها,98
لدينا,98
أربعة,97
صحيح؟,97
أرى,96
أهلا,96
أتوقع,95
أسامة,93
جيدة,89
أخرى,88
أعتقد,87
دعونا,84
أشياء,84
سوف,82
هيا,82
وهذه,82
ليست,81
لا؟,79
لديه,79
منذ,76
أنها,70
الأمور,68
إلي,67
بهذه,67
تلك,65
حسنا؟,64
نرى,64
توجد,64
كما,63
أريدك,63
ذهبت,62
إليه,60
يأتي,58
حقا,58
سأقول,57
هؤلاء,57
أكثر,57
أرسل,56
ولم,56
يبدو,56
أفعل,54
شخصا,54
أذهب,54
لكنني,53
لأنني,53
نريد,53
آيفون,53
أرجوك,53
جيدا,52
أيام,52
إليك,51
سأذهب,51
أيها,50
أعطني,49
بالتأكيد,49
أبي,49
دقائق,48
أوه,48
نذهب,48
لكنه,46
وأنت,45
هذا؟,45
ألفين,45
سنقوم,44
يتحدث,43
دعوني,43
أعلم,43
سأريكم,43
لديهم,43
كثيرا,43
الكثير,43
أبو,43
التعليقات,42
رأيت,42
بذلك,42
اذهب,42
أولاد,42
لماذا؟,41
أبدا,41
سأقوم,40
أكبر,40
وعشرون,39
ستكون,39
والدي,39
أخوك,39
تريده,39
اثنان,38
أنهم,38
لنرى,38
يمكنني,37
الأول,37
أننا,37
أفضل,37
يعمل,37
ريالا,37
وإذا,37
الآن؟,37
ثوان,37
أشخاص,37
أنت؟,37
أخذ,36
للتو,36
ذهب,36
ذلك؟,36
أحضر,36
وليس,35
تستطيع,35
قمنا,35
أخاف,35
انتهى,35
الأسفل,35
أود,34
نقوم,34
لاحقا,34
تذهب,34
أصدقائي,33
إنني,32
إياه,32
أليس,32
أولا,32
غدا,32
يمكننا,31
الإعلان,31
أجل,31
أنتم,31
يذهب,31
أبشر,31
ألفا,30
أريده,30
والده,30
آسف,30
عذرا,29
ماذا؟,29
وضعت,29
الأولى,29
رائع,29
أصبحت,29
تحدث,29
يوما,29
أحتاج,29
بالفعل,29
أشهر,29
الأخرى,29
أتحدث,29
بأس,28
ينظر,28
لذلك,28
أسجل,28
تمام؟,28
أقوم,28
أحيانا,27
الإلكتروني,27
كذلك؟,27
بك؟,27
شعرت,27
ألو,27
أصبح,26
يزال,26
الأحد,26
ألا,26
أكون,25
إليكم,25
واحدا,25
أخذت,25
تريد؟,25
سنذهب,25
سنرى,24
دعه,24
الذهاب,24
تصل,24
أين؟,24
والآن,24
أمام,24
قادم,24
ونرى,24
جميعا,24
أحب,24
وأيضا,24
تقلق,24
الأموال,24
أمس,24
آخذ,24
سيأتي,23
نستطيع,23
بعمل,23
أعمل,23
أضع,23
لأنها,23
الهاتف,23
خائف,23
سنبدأ,23
الخارج,23
يكن,23
له؟,23
سأكتب,23
جئت,23
القصة؟,23
أكتب,23
أحمد,23
سأرسل,22
الطيبون,22
أريدها,22
الأخيرة,22
أريكم,22
تحتوي,22
وخمسون,22
يحدث؟,22
السيارة؟,22
جاءت,22
يأخذ,22
أخبركم,22
والدك,22
الدراجة,22
تأتي,21
يريدون,21
نفعل,21
سأخبركم,21
إليها,21
وقتا,21
معا,21
بينما,21
عبر,21
ولكنه,21
استمع,21
ثماني,21
وأربعين,21
الآيفون,21
الحقيبة,21
ترغب,20
فعلت,20
وإن,20
أكن,20
سيحدث,19
أما,19
أصور,19
فهمت؟,19
أردت,19
الوصول,19
مقطعا,19
الأمام,19
وأريد,19
تريدني,19
يمكنه,19
صغيرا,19
لنذهب,19
أرجوكم,19
أفهم,19
سأخبره,18
أخرج,18
أسرع,18
يعود,18
يخرج,18
تجلب,18
أموال,18
نضع,18
أخيرا,18
ها؟,18
ثلاثمئة,17
كلما,17
الأستاذ,17
دون,17
أحدا,17
أبحث,17
أفكر,17
تريدون,17
أمي,17
أحاول,17
أعد,17
يتحدثون,17
طويلا,17
أه,17
تفعل؟,17
سنأخذ,17
هنا؟,17
أفعل؟,17
وخمسمائة,17
رأيتم,17
الفتاة,17
كبيرا,17
أني,17
انتهينا,17
فهمتم؟,16
تريده؟,16
سأكون,16
يرى,16
سأأتي,16
الأخير,16
أحلف,16
سأضع,16
تعلمون,16
ولكنني,16
يفعل,16
أتصل,16
يستحق,16
وأقول,16
ترون,16
إلينا,16
ثانيا,16
إلهي,16
الألعاب,16
أمامي,16
وسنرى,15
لهذه,15
لكني,15
جلست,15
دولارا,15
عشرون,15
أهل,15
الآخر,15
أربعمئة,15
وجدت,15
المقهى,15
حالك؟,15
إعلان,15
لأننا,15
كيف؟,15
نأتي,15
أسامة؟,15
رأيته,15
التحدث,15
لنبدأ,15
بقي,15
رأيك؟,15
أحدهم,15
ثلاثون,15
هو؟,15
أخبرك,15
سأعطيك,15
ريال؟,15
الإطارات,15
أشخاصا,15
لديك؟,14
وأقسم,14
طالما,14
موجودا,14
يريده,14
سأخبرك,14
سنضع,14
لأرى,14
أعود,14
سأتصل,14
أخي؟,14
صادقا,14
إذن,14
يستطيع,14
سنخرج,14
أتذكر,14
وسوف,14
أموره,14
شاهدوا,14
إياها,14
كرة,14
تبقى,14
إني,14
أوكي,14
أتمنى,14
الطلاء,14
أقدم,13
صدقا,13
أثناء,13
الماضية,13
سنجرب,13
شيء؟,13
يحتوي,13
نعود,13
جاءني,13
زمن,13
أدخل,13
الخير؟,13
تقارب,13
علاقة,13
الإطار,13
بعد؟,13
يتعلق,13
أبيع,13
هي؟,13
مئتان,13
أدفع,13
جزءا,13
أتكلم,13
أجلس,13
خرجت,13
اشتريت,13
تستحق,13
سأحضر,13
دع,13
إما,12
سنفعل,12
أمريكا,12
أجنبي,12
نتمكن,12
رفاق,12
يقومون,12
أقوى,12
تباع,12
ظهر,12
تصبح,12
أتمكن,12
تكن,12
خمسمئة,12
أمان,12
أنظر,12
إنهم,12
الأب,12
حدث؟,12
الأمن,12
ونضع,12
الغطاء,12
مئتي,12
ونحن,12
أظهر,12
رائعة,12
أراه,12
توقفت,12
كم؟,12
لكنك,12
جالسا,12
سأخرج,12
إس,12
أختي,12
اسمك؟,12
أنتهي,12
رأيتك,12
والشيء,12
فككنا,12
وأين,11
خمسون,11
وضعوا,11
ويجب,11
إعلانا,11
بسيطا,11
أقل,11
خارجا,11
تفعله,11
الأفكار,11
رأسي,11
تتعلق,11
الجيد,11
أمامك,11
ستأتي,11
بل,11
لكننا,11
أهم,11
لأنهم,11
أصلا,11
يعلم,11
يجلب,11
أخبره,11
وذهب,11
أغراضه,11
ابق,11
يحصل,11
أمر,11
أحضرنا,11
أقرب,11
صديقه,11
لنصل,11
وآخر,11
أسمع,11
أبدأ,11
أنزل,11
سأحول,11
فيما,11
تعرفوا,11
لطيف,11
بالداخل,11
الجانب,11
أبيعها,11
لك؟,11
سيأتيك,11
سنفك,11
أعرفه,10
وراء,10
أربعين,10
صورا,10
الإنجليزية,10
هذه؟,10
أضعه,10
بشأن,10
نعمل,10
أرغب,10
اثني,10
يمينا,10
تظهر,10
مبلغا,10
أسبوعين,10
أسلوب,10
الإنترنت,10
يصبح,10
يرغب,10
وبدأ,10
وسأعود,10
الآلة,10
طيب؟,10
تصدقون؟,10
سابقا,10
ولماذا,10
أرني,10
سنحاول,10
أستطع,10
سيتم,10
وأربعمائة,10
وبإذن,10
وأربعة,10
جميلا,10
أرسلت,10
خرج,10
سأتحدث,10
القبيل,10
الحديث,10
وأخذت,10
ألعب,10
القدم,10
أغير,10
الإعجاب,10
الخزان,10
بتركيب,10
أغلق,10
بجانبي,10
خيرا,10
سيصل,10
أعطه,10
خمسمائة,10
النافذة,10
فتى,10
الأكل,10
النظارات,9
جئنا,9
المؤكد,9
تود,9
أطيل,9
ويأتي,9
وذهبت,9
الإطلاق,9
الأربعاء,9
إلكتروني,9
الأجهزة,9
بالإضافة,9
كهذا,9
أشتري,9
أمورك,9
هذين,9
بأي,9
رأى,9
الأصل,9
بهم,9
الأسبوع,9
سأعطيكم,9
يرام,9
تعني,9
نقدا,9
فلن,9
فقد,9
نصل,9
شيئا؟,9
وأحضر,9
زال,9
إنسان,9
تضع,9
أقصد,9
سأرى,9
فقلت,9
أترك,9
عاما,9
يمكنكم,9
الإيطالي,9
الأبواب,9
الأهم,9
بأنه,9
تظن,9
يأتيك,9
قادمون,9
الأطفال,9
أسود,9
الأجزاء,9
جاءتني,8
سأعطيه,8
أعيش,8
إحضار,8
أجرب,8
أبل,8
فإنه,8
فسوف,8
أسألك,8
وأن,8
أموالا,8
بإنشاء,8
الأولاد,8
يجعلني,8
أحضرت,8
وجود,8
به؟,8
لدقيقة,8
عدنا,8
وقعت,8
فيه؟,8
أخ,8
والأمور,8
وأتوقع,8
العودة,8
سيقومون,8
تخف,8
بتسجيل,8
أنهي,8
