MSA_word,count_MSA
أن,2131
إذا,725
إلى,642
أو,575
الآن,522
أيضا,519
ماذا,459
هكذا,444
أنا,405
التي,388
أريد,385
حسنا,374
أعني,321
أنت,296
سيكون,293
إن,290
أنه,283
يجب,254
بالطبع,248
لقد,226
أي,212
أعرف,210
أخي,206
لديك,197
إنه,179
لكي,177
لدي,163
دعونا,156
الأمر,149
يريد,147
يمكنك,144
أحد,140
البدلة,135
أم,133
المرة,130
تلاحظون,130
جميل,128
لديه,106
كثيرا,106
سوف,100
نريد,100
أكثر,100
أخرى,99
قليلا,99
إنها,99
ربما,97
أنني,94
ستكون,93
هيا,92
لأنه,91
هؤلاء,91
الأمور,90
أجل,90
أين,89
أنك,88
أفضل,86
اللعبة,85
إلينا,83
أقول,80
بالإضافة,80
أتوقع,79
لديكم,79
لأن,78
واحدة,78
ترون,77
لذا,75
أحيانا,74
أنها,69
وإذا,68
وأنت,65
الساعة,64
ولم,63
الأولى,63
الكثير,63
جيدا,62
وليس,62
سنة,61
العجلة,60
الأول,59
جيدة,58
الخاصة,58
جميلة,56
أصبح,56
ولدينا,55
دعنا,54
أحب,53
لنرى,53
وهذه,53
وأنا,52
انتهى,51
منذ,51
إلا,51
نأتي,51
اذهب,50
وهناك,49
لكنني,49
أبو,49
أذهب,48
أشعر,48
أستطيع,47
يأتي,47
أرى,47
شخصا,47
شدة,47
نبدأ,46
سيظهر,46
توجد,45
بالتأكيد,45
النهاية,44
إخوان,44
أيام,43
أشياء,43
ثلاثة,43
رأيكم؟,43
الحزمة,42
هذا؟,41
أنتم,41
تذهب,41
أصبحت,41
أننا,41
نعود,41
أعتقد,41
كنتم,40
رسالة,40
ألف,40
سيتم,39
يتحدث,39
غدا,39
مهمة,39
واحدا,39
حزمة,39
نهاية,39
الشعبية,39
ألا,38
الرقصة,38
أفعل,37
القرآن,37
المهمة,37
انظروا,37
دعني,37
تحتاج,36
لاحظتم,36
تصبح,35
والآن,35
لا؟,35
سيحدث,35
لأنني,35
تأثير,35
أليس,35
رأيكم,35
تأتي,34
أقسم,34
الثالثة,34
بأس,34
أما,34
يمكنني,34
لديهم,34
جديدة,34
أشخاص,33
فترة,33
أبدا,33
الذهبية,33
ترون؟,32
كلمة,32
عجلة,32
أتمنى,31
أعمل,30
وإن,30
نرى,30
ساعة,30
بدلا,30
الضربة,30
أستاذ,29
إليه,29
تحدث,29
عملة,29
فإن,28
يمكننا,28
جميعا,28
لكنها,28
أكبر,28
أردت,28
يمكنكم,28
الضروري,28
بدأ,28
القادمة,28
الأسلحة,28
خطأ,27
آه,27
أربعة,27
تريدون,27
الآن؟,27
نضع,27
متوفرة,27
أعزائي,27
السنة,26
الإطلاق,26
هكذا؟,26
تريده,26
تتحدث,26
الموجودة,26
سأقوم,25
الأخيرة,25
الأرض,25
عشرة,25
وهكذا,24
كهذا,24
وضعت,24
تصل,24
تستطيع,24
سأعطيكم,24
أتحدث,24
فكرة,24
يوما,24
الرأس,24
نخرج,24
عذرا,23
ذهبت,23
لكني,23
أنهم,23
رأيت,23
أولا,23
الفائدة,23
لأجل,23
لأجلكم,23
أخ,22
ليرة,22
فإذا,22
هنا؟,22
لأنها,22
سيأتي,22
يسمى,22
سيارة,22
الفتاة,22
أهم,22
ذلك؟,21
فتاة,21
أحدهم,21
يتعلق,21
لماذا؟,21
أخبرتكم,21
الحصول,21
ترغب,21
الإسلام,21
بإذن,21
ماذا؟,21
يعود,21
الخانة,21
ضربة,21
أعلم,20
أحضر,20
بأنه,20
صلاة,20
أربع,20
أمر,20
الذهاب,20
إلي,20
أقل,20
إليك,20
لكننا,20
إما,20
أسطوري,20
مجانية,20
شعبية,20
يحتاج,19
يمكنه,19
الجمعة,19
الجميع,19
الفكرة,19
التالي,19
لأنك,19
ستظهر,19
وآخر,19
جميلا,19
أحدا,18
إذن,18
إضافة,18
إياها,18
قمنا,18
وكما,18
تضع,18
الأفضل,18
إليها,18
ببساطة,18
أردتم,18
كذلك؟,18
ولكنه,18
نتحدث,18
كثيرة,18
أنصحكم,18
إم,18
ستنزل,18
رقصة,18
أبي,17
يأخذ,17
أعود,17
أضع,17
قصة,17
لكنك,17
أمي,17
تجد,17
ويمكنك,17
بأن,17
الحقيبة,17
للأعزاء,17
سينزل,17
الميزة,17
البطاقة,17
ترغبون,17
الحقيقة,16
اللحظة,16
نصيحة,16
أقوم,16
تلك,16
القيام,16
نفعل؟,16
أجد,16
يزال,16
يحتوي,16
أفعل؟,16
عدة,16
إطار,16
ابنتي,16
امرأة,16
الأساس,16
يده,16
تفعل؟,16
ضع,16
مهما,16
لاحقا,16
وسوف,16
لعيني,16
أصلي,15
وبعد,15
